Name,Purpose,Cost,Qty,Total,Link,Distributor
RGB LED Strip,This will light up the PCB,$1.99,1,$1.99,https://www.aliexpress.us/item/2251801850504415.html?spm=a2g0o.cart.0.0.7eff38dacol07w&mp=1&pdp_npi=6%40dis%21USD%21USD%205.61%21USD%201.99%21%21USD%201.99%21%21%21%402103129017750858662327765e2195%2167389781127%21ct%21US%217500193000%21%211%210%21&_gl=1*1yqp890*_gcl_au*NjY3Mzc3NzQ2LjE3Njk3NTEyMTc.*_ga*MTQ4NTY0MzIyNS4xNzc1MDA2MzQ3*_ga_VED1YSGNC7*czE3NzUwODU0ODMkbzQkZzEkdDE3NzUwODU4NjQkajMyJGwwJGgw&gatewayAdapt=glo2usa,AliExpress
3D Printed Frame,This will hold the PCB and LEDs,$0.00,1,$0.00,There isn't a link,I will print this
